name,ip
iis-kp01,192.168.114.21
iis-kp02,192.168.114.22
app01,192.168.114.31
app02,192.168.114.32
iis01,192.168.114.41
iis02,192.168.114.42
iis-login01,192.168.114.51
iis-login02,192.168.114.52
iis-bk01,192.168.114.53
iis-mob01,192.168.114.55
ipad01,192.168.114.57
pdf01,192.168.114.59
ws01,192.168.114.61
ws02,192.168.114.62
